City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,orkney,-26.9802,26.6727,13.7,43,0,2.3,ZA,1715315975
113,atafu village,-8.5421,-172.5159,29.49,69,86,0.6,TK,1715315976
114,aral,40.5156,81.2636,28.45,12,1,7.07,CN,1715315977
115,chui,-33.6971,-53.4616,9.01,84,49,0.67,UY,1715315967
116,anadyr,64.75,177.4833,-4.72,73,75,2.0,RU,1715315978
117,taroa,8.7058,171.2275,27.76,83,100,8.0,MH,1715315979
118,marquette,46.5333,-87.6335,4.32,76,0,0.45,US,1715315980
119,copiapo,-27.3667,-70.3333,11.83,89,100,2.29,CL,1715315858
120,lae,-6.7221,146.9847,29.37,90,100,1.76,PG,1715315981
121,kayangel,8.0823,134.7173,27.7,81,99,2.22,PW,1715315982
122,jamestown,42.097,-79.2353,11.77,93,100,1.54,US,1715315870
123,champerico,14.3,-91.9167,29.25,70,61,2.77,GT,1715315984
124,tshabong,-26.05,22.45,17.52,24,7,5.1,BW,1715315984
125,levuka,50.1834,-105.4011,8.9,60,1,3.57,CA,1715315985
126,carnarvon,-24.8667,113.6333,27.29,47,24,3.0,AU,1715315986
127,katsuura,35.1333,140.3,18.48,45,0,6.16,JP,1715315987
128,kone,-21.0595,164.8658,24.83,47,61,3.11,NC,1715315987
129,tura,25.5198,90.2201,31.51,40,59,2.19,IN,1715315988
130,chibougamau,49.9168,-74.3659,0.79,86,0,0.0,CA,1715315989
131,port lincoln,-34.7333,135.8667,16.74,66,0,4.57,AU,1715315780
132,tanout,14.9709,8.8879,30.82,15,86,3.73,NE,1715315815
133,kharp,66.8014,65.8081,-3.49,95,100,9.71,RU,1715315991
134,cabo san lucas,22.8909,-109.9124,24.23,62,4,4.56,MX,1715315869
135,el calafate,-50.3408,-72.2768,0.25,88,94,0.98,AR,1715315992
136,san antonio de pale,-1.4014,5.6325,26.79,87,100,5.87,GQ,1715315993
137,bel ombre,-4.6167,55.4167,29.91,74,20,3.09,SC,1715315994
138,harper,4.375,-7.7169,27.18,84,90,2.19,LR,1715315994
139,bada,51.392,109.8717,7.3,41,98,7.64,RU,1715315995
140,ed damer,17.5928,33.9592,29.59,11,28,3.96,SD,1715315996
141,forster,-32.1667,152.5167,20.77,80,93,3.0,AU,1715315996
142,sao vicente,-23.9631,-46.3919,25.71,26,78,1.46,BR,1715315879
143,ust-nera,64.5667,143.2,6.15,63,100,1.79,RU,1715315998
144,tibu,8.639,-72.7358,23.58,99,100,0.64,CO,1715315999
145,myeik,12.4333,98.6,32.69,56,77,1.6,MM,1715315999
146,palpa,-14.5336,-75.1856,18.75,72,67,1.34,PE,1715316000
147,baoro,5.6667,15.9667,20.57,93,86,2.01,CF,1715316001
148,ancud,-41.8697,-73.8203,8.4,80,81,2.32,CL,1715316002
149,wicklow,53.0,-6.4167,9.45,88,100,1.18,IE,1715316003
150,yerofey pavlovich,53.9667,121.9667,12.62,32,100,4.85,RU,1715316003
151,lihue,21.9789,-159.3672,26.58,79,20,4.12,US,1715316004
152,new norfolk,-42.7826,147.0587,14.95,84,99,1.26,AU,1715316005
153,turbat,26.0023,63.044,32.94,39,0,1.73,PK,1715316006
154,la passe,45.5549,-0.8967,13.01,89,16,3.61,FR,1715316006
155,zhanga buqtyrma,49.6295,83.5248,21.43,43,100,2.24,KZ,1715316007
156,susuman,62.7833,148.1667,5.88,48,100,2.95,RU,1715316008
157,queenstown,-31.8976,26.8753,16.67,41,19,3.66,ZA,1715316009
158,emerald,-23.5333,148.1667,24.08,58,100,6.06,AU,1715316009
159,kismayo,-0.3582,42.5454,27.49,78,58,5.24,SO,1715316010
160,enewetak,11.3474,162.3373,27.63,78,96,7.47,MH,1715316011
161,sao jose da coroa grande,-8.8978,-35.1478,25.95,76,27,3.91,BR,1715316012
162,udachny,66.4167,112.4,-5.86,72,100,5.0,RU,1715316013
163,lethem,3.3803,-59.7968,24.47,95,100,3.26,GY,1715316014
164,kaiama,9.6225,3.9481,26.61,75,99,4.0,NG,1715316015
165,charlestown,-32.95,151.6667,21.03,75,100,0.89,AU,1715316015
166,anapa,44.8908,37.3239,11.19,62,0,6.0,RU,1715316016
